applicationIdentifier	regex	formatString	description	label	note	fnc1Required
3927	"^3927(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (7) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 7 decimal places in units of currency within the single monetary area	TRUE
3928	"^3928(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (8) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 8 decimal places in units of currency within the single monetary area	TRUE
3929	"^3929(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (9) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 9 decimal places in units of currency within the single monetary area	TRUE
3930	"^3930(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 0 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3931	"^3931(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 1 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3932	"^3932(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 2 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3933	"^3933(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 3 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3934	"^3934(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 4 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3935	"^3935(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 5 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3936	"^3936(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (6) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 6 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3937	"^3937(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (7) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 7 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3938	"^3938(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (8) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 8 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3939	"^3939(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code (variable measure trade item)	PRICE	The fourth digit (9) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 9 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3940	^3940(\d{4})$	N4+N4	Percentage discount of a coupon	PRCNT OFF	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details).	TRUE
3941	^3941(\d{4})$	N4+N4	Percentage discount of a coupon	PRCNT OFF	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details).	TRUE
3942	^3942(\d{4})$	N4+N4	Percentage discount of a coupon	PRCNT OFF	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details).	TRUE
3943	^3943(\d{4})$	N4+N4	Percentage discount of a coupon	PRCNT OFF	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details).	TRUE
3950	"^3950(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3951	"^3951(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3952	"^3952(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3953	"^3953(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3954	"^3954(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3955	"^3955(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3956	"^3956(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3957	"^3957(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3958	"^3958(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
3959	"^3959(\d{0,6})$"	N4+N6	Amount Payable per unit of measure single monetary area (variable measure trade item)	PRICE/UoM	"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details."	TRUE
400	"^400([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Customers purchase order number	ORDER NUMBER		TRUE
401	"^401([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Global Identification Number for Consignment (GINC)	GINC		TRUE
402	^402(\d{17})$	N3+N17	Global Shipment Identification Number (GSIN)	GSIN		TRUE
403	"^403([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Routing code	ROUTE		TRUE
410	^410(\d{13})$	N3+N13	Ship to / Deliver to Global Location Number (GLN)	SHIP TO LOC		FALSE
411	^411(\d{13})$	N3+N13	Bill to / Invoice to Global Location Number (GLN)	BILL TO		FALSE
412	^412(\d{13})$	N3+N13	Purchased from Global Location Number (GLN)	PURCHASE FROM		FALSE
413	^413(\d{13})$	N3+N13	Ship for / Deliver for - Forward to Global Location Number (GLN)	SHIP FOR LOC		FALSE
414	^414(\d{13})$	N3+N13	Identification of a physical location - Global Location Number (GLN)	LOC No.		FALSE
415	^415(\d{13})$	N3+N13	Global Location Number (GLN) of the invoicing party	PAY TO		FALSE
416	^416(\d{13})$	N3+N13	Global Location Number (GLN) of the production or service location	PROD/SERV LOC		FALSE
417	^417(\d{13})$	N3+N13	Party Global Location Number (GLN)	PARTY		FALSE
420	"^420([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	Ship to / Deliver to postal code within a single postal authority	SHIP TO POST		TRUE
421	"^421(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,9})$"	N3+N3+X..9	Ship to / Deliver to postal code with ISO country code	SHIP TO POST		TRUE
422	^422(\d{3})$	N3+N3	Country of origin of a trade item	ORIGIN		TRUE
423	"^423(\d{3})(\d{0,12})$"	N3+N3+N..12	Country of initial processing	COUNTRY - INITIAL PROCESS.		TRUE
424	^424(\d{3})$	N3+N3	Country of processing	COUNTRY - PROCESS.		TRUE
425	"^425(\d{3})(\d{0,12})$"	N3+N3+N..12	Country of disassembly	COUNTRY - DISASSEMBLY		TRUE
426	^426(\d{3})$	N3+N3	Country covering full process chain	COUNTRY - FULL PROCESS		TRUE
427	"^427([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,3})$"	N3+X..3	Country subdivision Of origin	ORIGIN SUBDIVISION		TRUE
4300	"^4300([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,35})$"	N4+X..35	Ship-to / Deliver-to company name	SHIP TO COMP		TRUE
4301	"^4301([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,35})$"	N4+X..35	Ship-to / Deliver-to contact	SHIP TO NAME		TRUE
4302	"^4302([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Ship-to / Deliver-to address line 1	SHIP TO ADD1		TRUE
4303	"^4303([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Ship-to / Deliver-to address line 2	SHIP TO ADD2		TRUE
4304	"^4304([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Ship-to / Deliver-to suburb	SHIP TO SUB		TRUE
4305	"^4305([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Ship-to / Deliver-to locality	SHIP TO LOC		TRUE
4306	"^4306([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Ship-to / Deliver-to region	SHIP TO REG		TRUE
4307	^4307([A-Z]{2})$	N4+X2	Ship-to / Deliver-to country code	SHIP TO COUNTRY		TRUE
4308	"^4308([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N4+X..30	Ship-to / Deliver-to telephone number	SHIP TO PHONE		TRUE
4309	^4309(\d{20})$	N4+N20	Ship-to / Deliver-to GEO location	SHIP TO GEO		TRUE
4310	"^4310([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,35})$"	N4+X..35	Return-to company name	RTN TO COMP		TRUE
4311	"^4311([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,35})$"	N4+X..35	Return-to contact	RTN TO NAME		TRUE
4312	"^4312([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Return-to address line 1	RTN TO ADD1		TRUE
4313	"^4313([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Return-to address line 2	RTN TO ADD2		TRUE
4314	"^4314([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Return-to suburb	RTN TO SUB		TRUE
4315	"^4315([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Return-to locality	RTN TO LOC		TRUE
4316	"^4316([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Return-to region	RTN TO REG		TRUE
4317	^4317([A-Z]{2})$	N4+X2	Return-to country code	RTN TO COUNTRY		TRUE
4318	"^4318([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Return-to postal code	RTN TO POST		TRUE
4319	"^4319([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N4+X..30	Return-to telephone number	RTN TO PHONE		TRUE
4320	"^4320([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,35})$"	N4+X..35	Service code description	SRV DESCRIPTION		TRUE
4321	^4321([01])$	N4+N1	Dangerous goods flag	DANGEROUS GOODS		TRUE
4322	^4322([01])$	N4+N1	Authority to leave	AUTH TO LEAVE		TRUE
4323	^4323([01])$	N4+N1	Signature required flag	SIG REQUIRED		TRUE
4324	^4324(\d{10})$	N4+N10	Not before delivery date time	NOT BEF DEL DT		TRUE
4325	^4325(\d{10})$	N4+N10	Not after delivery date time	NOT AFT DEL DT		TRUE
4326	^4326(\d{6})$	N4+N6	Release date	REL DATE		TRUE
7001	^7001(\d{13})$	N4+N13	NATO Stock Number (NSN)	NSN	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7002	"^7002([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N4+X..30	UN/ECE meat carcasses and cuts classification	MEAT CUT	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7003	^7003(\d{10})$	N4+N10	Expiration date and time	EXPIRY TIME	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7004	"^7004(\d{0,4})$"	N4+N..4	Active potency	ACTIVE POTENCY	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7005	"^7005([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,12})$"	N4+X..12	Catch area	CATCH AREA	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7006	^7006(\d{6})$	N4+N6	First freeze date	FIRST FREEZE DATE	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7007	"^7007(\d{6,12})$"	N4+N6[+N6]..12	Harvest date	HARVEST DATE	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7008	"^7008([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,3})$"	N4+X..3	Species for fishery purposes	AQUATIC SPECIES	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7009	"^7009([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,10})$"	N4+X..10	Fishing gear type	FISHING GEAR TYPE	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7010	"^7010([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,2})$"	N4+X..2	Production method	PROD METHOD	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7011	"^7011(\d{6})(\d{0,4})$"	N4+N6[+n4]	Test by date	TEST BY DATE	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7020	"^7020([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Refurbishment lot ID	REFURB LOT	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7021	"^7021([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Functional status	FUNC STAT	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7022	"^7022([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Revision status	REV STAT	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7023	"^7023([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N4+X..30	Global Individual Asset Identifier (GIAI) of an assembly	GIAI - ASSEMBLY	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7030	"^7030(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 0	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7031	"^7031(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 1	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7032	"^7032(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 2	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7033	"^7033(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 3	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7034	"^7034(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 4	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7035	"^7035(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 5	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7036	"^7036(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 6	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7037	"^7037(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 7	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7038	"^7038(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 8	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7039	"^7039(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,27})$"	N4+N3+X..27	Number of processor with ISO Country Code	PROCESSOR # 9	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7040	^7040(\d[\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{3})$	N4+N1+X3	GS1 UIC with Extension 1 and Importer index	UIC+EXT		TRUE
710	"^710([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	National Healthcare Reimbursement Number (NHRN) - Germany PZN	NHRN PZN	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
711	"^711([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	National Healthcare Reimbursement Number (NHRN) - France CIP	NHRN CIP	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
712	"^712([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	National Healthcare Reimbursement Number (NHRN) - Spain CN	NHRN CN	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
713	"^713([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	National Healthcare Reimbursement Number (NHRN) - Brasil DRN	NHRN DRN	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
714	"^714([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	National Healthcare Reimbursement Number (NHRN) - Portugal AIM	NHRN AIM	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
715	"^714([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	National Healthcare Reimbursement Number (NHRN) - United States of America NDC	NHRN NDC	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	TRUE
7230	"^7230([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #1		TRUE
7231	"^7231([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #2		TRUE
7232	"^7232([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #3		TRUE
7233	"^7233([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #4		TRUE
7234	"^7234([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #5		TRUE
7235	"^7235([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #6		TRUE
7236	"^7236([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #7		TRUE
7237	"^7237([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #8		TRUE
7238	"^7238([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #9		TRUE
7239	"^7239([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{2,30})$"	N4+X2+X..28	Certification reference	CERT #10		TRUE
7240	"^7240 ([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Protocol ID	PROTOCOL		TRUE
8001	^8001(\d{14})$	N4+N14	"Roll products (width, length, core diameter, direction, splices)"	DIMENSIONS		TRUE
8002	"^8002([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Cellular mobile telephone identifier	CMT No.		TRUE
8003	"^8003(\d{14})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,16})$"	N4+N14[+X..16]	Global Returnable Asset Identifier (GRAI)	GRAI		TRUE
